知识类型,描述,来源,标签,质量
玩法,【SLG核心循环设计】核心循环：资源获取→基地建设→军队养成→战争征服→扩张领地→更多资源。双循环结构：核心循环（即时爽感：战斗/征服的即时反馈）+元循环（长线留存：科技树/建设/赛季的长线目标）。赛季结构：W1开幕（势力登场/冲突引入→新地图开放）→W2-3发展（势力扩张/联盟形成→联盟战开启）→W4-5高潮（决战/背叛/逆转→王城争夺）→W6收束（结算/下季伏笔→赛季结算）。,knowledge-base/gameplay/,"核心循环,双循环,赛季结构,SLG玩法",深度
系统,【AI系统公式】Freeciv AI难度平衡：作弊AI科研/奢侈/金币/生产+40%、快乐度+1、污染-25%、老兵战斗力+20%、煽动成本+20%、无税率上限；弱化AI科研-25%、防御/攻击-20%、贿赂-20%、贸易路线-1、贸易收入-100、移民-20%。OpenRA AI决策评分：Score=Σ(Consideration_i)，每个Consideration含Against/Types/Attractiveness/TargetMetric/CheckRadius，触发条件Score≥MinimumAttractiveness。AI人格类型（红警）：Rush突击/Normal标准/Turtle龟缩/Naval海军，不同人格对应不同建筑优先级和攻击阈值。,knowledge-base/numerical/game-data/,"AI系统,难度平衡,决策评分,AI人格,决策权重,君主性格",深度
系统,【地图生成公式】OpenRA程序化地图参数：TerrainFeatureSize=20480，Water=200，Mountains=100~300，Forests=25，TerrainSmoothing=4，MaximumAltitude=8，Roughness=200~500。资源分配：ResourcesPerPlayer=50000，OreUniformity=250，OreClumpiness=2，SpawnResourceSpawns=3，SpawnReservation=16，SpawnResourceBias=500。出生点设计：CentralSpawnReservationFraction=250‰，SpawnRegionSize=12，SpawnBuildSize=8，MinimumSpawnRadius=5。,knowledge-base/numerical/game-data/openra/,"地图生成,程序化,资源分配,出生点,SLG地图",实质
系统,【政体/文明特性系统】Freeciv政体效果框架：Anarchy(无政府)产出惩罚超过2产出格-1/免费单位2/军事不造成不满/戒严3军事安抚1不满/无税率控制→Despotism(专制)→Monarchy(君主)→Republic(共和)→Democracy(民主)，每种政体对应不同税率上限/免费单位数/腐败率/军事不满度/贸易加成/科研加成。文明AI四维特性：expansionist(扩张30~90默认50)/trader(贸易30~90)/aggressive(好战30~90)/builder(建设30~90)，不同文明预设不同倾向影响AI发展策略和外交态度。,knowledge-base/numerical/game-data/freeciv/,"政体,文明特性,AI四维,政体效果",实质
系统,【SLG行军与集结系统】兵种行军速度：步兵100格/h/弓兵120格/h/骑兵200格/h/攻城器械60格/h，混编速度=min(各兵种速度)木桶效应，实际速度=基础×(1+速度加成%)。行军时间=距离/实际速度。六种行军模式：攻击/采集/侦查(速度×2)/集结(5/15/60min可选)/增援/迁城。行军队列：初始1队/主城Lv8两队/Lv15三队/VIP8+1/付费+1/最大5~6队。集结系统：集结容量=发起者带兵上限×集结系数(Lv1×2/Lv5×4/Lv10×6/Lv15×8/Lv20×10)，最大参与人数=战争大厅等级(5~20人)。主帅加成模型：集结伤害=集结总兵力×主帅ATK×(1+主帅技能加成)×兵种加权×集结规模加成。,网络搜索综合,"行军速度,集结系统,行军模式,队列上限,主帅加成",深度
系统,【科技树系统】三条科技线：经济科技(资源产量+5%/级共10级=+50%/建造速度+3%/级/研究速度+3%/级/采集速度+5%/级)，军事科技(兵种ATK+2%/级共10级=+20%/DEF+2%/HP+2%/行军速度+5%/带兵量+2%)，兵种解锁(T2→主城Lv6/T3→Lv10/T4→Lv15+前置)。研究时间=BaseResearchTime×TimeGrowth^(Lv-1)，TimeGrowth≈1.5~2.0，后期高级科技可达数百天。资源消耗CostGrowth≈1.8~2.5比建筑更陡峭。联盟科技：等级上限=f(联盟等级)，成员捐献研究，联盟资源加成+3%/级/战斗+1%/级/行军+3%/级，叠加到个人科技之上。,网络搜索综合,"科技树,经济科技,军事科技,联盟科技,研究时间",深度
系统,【攻城战系统】围城vs强攻对比：围城时间长/攻方损失低/守方驻军缓慢消耗/适用兵力珍贵场景；强攻即时/攻方损失极高30%-70%/驻军被歼灭/适用急需攻下场景。城防/驻军：驻军上限=基础驻军×城池等级，围城期间每回合-X%驻军，驻军归零→城池陷落。围城进度=攻方总攻力/(城防值×(1+地形防御加成))，累计≥100%陷落。攻城器械效果：攻城锤对城墙×2/投石车×3+AOE/床弩×4+远程持续/霹雳车×6+对建筑×3，攻城器械对普通兵种×0.8脆弱。城防buff：守城方防御力+20%~50%/伤害减免+10%~20%/陷阱首轮额外伤害。,网络搜索综合,"攻城战,围城,强攻,城防,攻城器械",深度
系统,【赛季/战令/跨服系统】赛季周期：率土/三战类8~12周/赛季，COK类持续制+阶段性大事件，混合制赛季+永久进度并存。重置策略：保留武将/英雄/付费外观/账号等级，重置领地/资源/兵力/地图，贬值上赛季装备/科技。赛季吸引力=新内容量×翻身机会×社交期待/沉没成本感知。战令系统：总层50~120(主流100)，赛季8~12周，免费层级25%~40%/付费60%~75%，XP前10层5000~10000/层(快反馈)/中段10000~20000/层(稳定)/后段保持或略增，定价$8~$15，回本机制付费返还≥购买价。跨服战场(真龙霸业)：50v50/60min/出战战力匹配/军医无上限/派兵限制/双积分(军团+个人)/胜负分+3/-3/翻盘BOSS=10000积分。,网络搜索综合,"赛季制,战令,Battle Pass,跨服战场,重置策略",深度
系统,【联盟/公会系统】联盟人数50~100人，等级1~10级。职位体系R5~R1：盟主全权限/副盟踢人批准发起集结/官员批准集结/精英商店折扣/成员基础权限。联盟币获取：日常捐献10~50/任务50~200/联盟战100~500/怪物击杀50~150。联盟商店：加速8h=500币/资源箱=1000/稀有材料2000~5000/迁城3000。联盟领地=成员占领地块连通区域，buff采集+10%~30%/建造+5%~15%/行军+10%~20%。联盟要塞：联盟等级≥3消耗联盟资源，耐久度=50000×等级。领主系统(王国纪元类)：领主属性占比~60%(科技+英雄~40%)，领主唯一只能带一支部队获全部加成，领主被俘/赎金/悬赏/处决完整体系。,网络搜索综合,"联盟系统,公会,领地,联盟科技,领主系统",深度
策划,【SLG攻守平衡方法论】防守方优势设计：城防buff+20%~50%防御/医院机制70~90%伤兵可恢复/陷阱首轮额外伤害→攻方需3~5倍兵力稳胜。攻守失衡风险：守方在线攻方巨大劣势(护盾+增援+陷阱)，守方离线攻方可持续掠夺→需保护机制(和平护盾/新手保护期)。兵种等级设计原则：推荐快解锁多等级小幅提升(平滑体验)，避免慢解锁少等级大幅质变(体验断裂)，每级属性增量=总属性/总等级数，质变通过特定等级解锁专属技能实现。伤害公式选型：推荐除法/减伤型(平滑)，避免加减法型(碾压过大)。,网络搜索综合,"攻守平衡,防守优势,保护机制,兵种等级,伤害公式选型",实质
玩法,【SLG子品类对比与选型】四大SLG子品类：(1)率土类——赛季制+200×200大地图+3武将编队+回合制自动战斗+强PvP；(2)COK类——持续制+个人主城+实时行军+集结+联盟GvG；(3)文明类——4X回合制+科技树+政体+外交+多元胜利条件；(4)全面战争类——战略回合制+战术即时操作。子品类选型：手游优先COK类(社交强/付费清晰)，中重度端游优先文明类(策略深度)，赛季制适合高DAU运营。,知识库综合+产品拆解,"SLG子品类,率土,COK,文明,全面战争,选型",深度
玩法,【SLG留存模型与节奏设计】三阶段设计：新手期(D1~D7)目标D1留存>40%/成长期(D7~D30)目标D7>20%/成熟期(D30+)目标D30>10%。时间锁设计：建筑/科技用真实时间，战斗即时。防流失关键点：D3首次被打(需护盾)/D14科技瓶颈(需付费点)/D30联盟解散(需跨盟社交)。日均推荐30~60min。,网络搜索综合+产品拆解,"留存模型,节奏设计,新手引导,防流失,时间锁",深度
玩法,【SLG社交设计范式】四层结构：个人→联盟→王国→跨服。社交留存公式=联盟活跃天数×盟内好友数×联盟战参与次数。设计原则：弱者有价值/强者需要弱者/背叛有代价/合作有回报。SLG是唯一「社交即玩法」品类。,网络搜索综合,"社交设计,联盟,KvK,社交留存,弱者价值",深度
玩法,【SLG资源采集与土地争夺】资源采集系统：世界地图土地分Lv1~Lv8，Lv1~3产四种资源均衡(grain/wood/iron/stone各100×Lv)，Lv4+单资源特化(如Lv4木材4000/其他为0)。采集公式：采集速度=基础速度×(1+科技加成%+装备加成%+VIP加成%)，采集量=速度×时间，负重上限=带兵数×单兵负重。土地争夺机制：占领需击败NPC守军(Lv越高守军越强)，占领后产出归属占领者。领地规则：相连地块形成联盟势力范围。土地上限=基础20块+主城等级加成+科技加成。令旗行动力系统：每次出征消耗1令，上限20令，每20分钟恢复1令，限制无限扩张速度。,knowledge-base/gameplay/narrative/game-story-data/slg/,"资源采集,土地争夺,采集公式,领地,令旗系统",深度
玩法,【SLG世界Boss与PvE玩法】四类PvE：野外NPC/世界Boss/副本远征/蛮族入侵。世界Boss HP=基准×服务器平均战力×难度系数，伤害排名奖励。NPC难度=BasePower×1.5^(Level-1)。,网络搜索综合,"世界Boss,PvE,NPC,蛮族入侵,伤害排名",实质
玩法,【SLG内政系统设计】三维度：城市管理×资源系统×建设系统。产出公式：金钱=人口×(商业度/100)×(市场等级×0.1)×季节系数(春1.0/夏1.2/秋1.5/冬0.8)。灾害系统：旱灾/水灾/瘟疫/蝗灾随机触发。民心<30可能叛乱，>80产出+10%。,raw-projects/sgz3_web/,"内政系统,城市管理,资源产出,季节系统,灾害,民心",深度
系统,【外交系统设计】四状态(同盟/中立/敌对/停战)+七种行动(结盟/宣战/求和/停战/离间/贿赂/威胁)+劝降武将/劝降势力。成功率公式含关系值/魅力/实力比/性格影响。关系值-100~100。,raw-projects/sgz3_web/src/systems/diplomacy/,"外交系统,结盟,宣战,离间,劝降,关系值",深度
系统,【侦察/间谍系统设计】四类任务：情报(准确度=50+智力×0.5)/破坏(城防-5~10或民心-10~15)/暗杀/煽动(找忠诚度<60武将)。成功率=40+智力×0.3-城防×0.15。反间谍：发现率=30+智力×0.3+城防×0.1。,raw-projects/sgz3_web/src/systems/diplomacy/SpySystem.ts,"间谍系统,情报收集,破坏,煽动,反间谍,侦察",深度
系统,【领地/世界地图规则】200×200格子地图，格子类型：空地/土地(Lv1~8)/主城/要塞(耐久30000)/城区(Lv1~10耐久100000×Lv)。领地采集+20~30%。要塞提供行军出发点。城区是赛季目标物。中心资源丰富竞争激烈，外围资源稀薄但安全。,knowledge-base/system/slg-modules/,"领地系统,世界地图,要塞,城区,资源分布",深度
系统,【新手保护与防流失机制】三层保护：7天免战护盾/新手封闭服14天/引导任务链。防流失：回归礼包/联盟保护/战力保护(差>5倍无法攻击)/连续登录奖励。和平护盾商品化(8h=100宝石/24h=200/72h=500)是重要付费点。,网络搜索综合+产品拆解,"新手保护,护盾,防流失,回归礼包,和平护盾",实质
系统,【后勤补给系统设计】粮草消耗分层：静态(100兵/回合=1粮)/移动×1.5/战斗×2.0。五级断粮惩罚。补给线效率=100%-每经城市5%-低民心-10%。运输队容量=兵×1，运输可被截击。「外行谈战术，内行谈后勤」。,raw-projects/sgz3_web/src/systems/supply/SupplySystem.ts,"后勤补给,粮草消耗,补给线,运输,断粮惩罚",深度
剧情,【SLG赛季叙事设计方法】四阶段模板：开幕(W1势力登场)→发展(W2-3联盟形成)→高潮(W4-5决战逆转)→收束(W6结算伏笔)。武将角色分工：主角/反派/盟友/叛徒。玩家参与三层：阵营选择→个人叙事→社交叙事。,knowledge-base/system/narrative-templates/模板_赛季叙事_SLG.md,"赛季叙事,四阶段,武将角色,玩家参与,伏笔",深度
剧情,【SLG武将传记与角色塑造】分段解锁模板：获得(50字)→突破1~4(各200字早年/崛起/巅峰/结局)→满级(100字秘闻)。台词5场景：出战/胜利/失败/待机/获得。要点：历史游戏平衡/性格极端化/阵营一致性/文字风格统一。,knowledge-base/system/narrative-templates/模板_SLG武将传记.md,"武将传记,角色塑造,分段解锁,台词设计,性格标签",深度
剧情,【SLG世界观构建方法】三层结构：宏观(时代/地理/势力)→中观(关系/冲突/阵营)→微观(武将/城市/物品故事)。题材选型：三国/中世纪/科幻/架空各有市场。世界观必须支撑多势力对抗逻辑+预留赛季扩展空间。,知识库综合,"世界观构建,三层结构,题材选型,世界圣经,文化一致性",实质
剧情,【SLG任务/事件文案设计】任务体系：主线→支线→赛季→联盟→历史事件。事件类型：HISTORICAL/RANDOM/DISASTER/BLESSING。触发条件组合+事件效果类型+玩家选择分支。优先级：历史>灾害>随机>吉祥。,raw-projects/sgz3_web/src/systems/diplomacy/EventSystem.ts,"任务系统,事件系统,历史事件,灾害,玩家选择",实质
剧情,【SLG文化题材选型与本地化】五大题材：三国(中国核心)/中世纪(欧美主流)/古罗马(欧美次核心)/科幻(差异化)/架空(灵活)。本地化关键：命名/建筑风格/UI布局/节日活动/付费习惯。全球化建议：核心玩法统一，题材/美术/文案三层本地化。,网络搜索综合+产品拆解,"文化题材,三国,中世纪,科幻,本地化,全球化",实质
策划,【SLG VIP/付费体系设计】三大付费支柱：加速类(40~50%)/资源类(20~30%)/武将类(20~30%)。VIP0~15等级体系。首充6元目标转化>15%。月卡30元ROI=3倍。定价六档$0.99~$99.99。和平护盾是SLG独有付费点。,网络搜索综合+产品拆解,"VIP,付费体系,加速,月卡,首充,定价",深度
策划,【SLG付费深度与LTV模型】LTV=ARPU×留存天数=ARPPU×付费率×留存天数。典型指标：付费率5~15%/ARPPU $50~200/LTV $30~300。鲸鱼占<1%贡献30~50%收入。SLG商业化本质：卖时间(加速)+卖权力(武将VIP)+卖社交地位(排名称号)。,网络搜索综合+产品拆解,"LTV,付费深度,ARPU,鲸鱼玩家,付费平衡",深度
策划,【SLG生命周期运营节奏】三阶段：上线期(M1~3快速开服)/成长期(M3~12赛季循环)/成熟期(M12+跨服生态)。合服标准：DAU<200~500/活跃联盟<10。更新频率：轻度每周/中度每月/大版本每季度。核心：让玩家永远有下一个目标。,网络搜索综合+产品拆解,"生命周期,运营节奏,合服,活动节奏,内容更新",实质
策划,【SLG数值方案选型指南】按子品类推荐：率土类→差值型+高武将权重+低克制10%；COK类→比值型+兰彻斯特修正x=0.7~0.9+高克制20~30%+集结递减；文明类→比防公式+多乘区+老兵系统+PID经济模型。验证标准：同战力胜率45~55%，3倍差稳胜不秒杀。,知识库综合,"数值选型,伤害公式选型,子品类推荐,验证标准",深度
策划,【SLG品类立项与竞品分析框架】五维度：市场规模($80~100亿/年)/竞品格局(头部固化)/用户画像(男性85%+ 25~45岁)/技术门槛(万人同服)/运营成本(CPI $5~15海外)。竞品分析6维：核心循环/付费/社交/赛季/美术/技术。差异化方向：题材蓝海/玩法融合/技术突破。,网络搜索综合+产品拆解,"品类立项,竞品分析,市场规模,用户画像,差异化",实质
数值,【装备/宝物系统设计】四类宝物：武器/书籍/马匹/特殊。获取：搜索/缴获/事件/商店。效果：主属性+副属性(1~3条随机)+套装效果。强化1~10级每级+10%。品质白→红。设计原则：装备占战力<20%，提供build多样性而非纯数值堆叠。,raw-projects/sgz3_web + 网络搜索综合,"装备系统,宝物,强化,套装效果,品质体系",实质
数值,【竞品·万国觉醒战斗系统拆解(实测验证版)】普攻伤害公式(玩家实测推导)：Damage=k×√(Ne)×As/(De×He)×(1+Es)×(1-Ee)×Cou×kscale，其中k=192.54(普攻系数实测值)，Ne=己方兵力，As=己方攻击力，De=敌方防御力，He=敌方生命值(注意：生命值在ROK中是减伤属性而非血量)，Es=普攻增伤，Ee=普攻减伤，Cou=兵种克制系数。关键发现：(1)伤害与√兵力成正比(非线性)，10倍兵力仅约3倍伤害；(2)生命值是乘算减伤而非血量，与防御共同构成De×He减伤乘区；(3)兵种克制仅+5%(远低于一般SLG的10~30%)；(4)战斗规模系数kscale=1+(Ne+Ns)/950000，双方兵力越多伤害越高。技能伤害=普攻伤害×技能系数×(1+技能伤害加成%)，技能伤害不受兵种克制影响。属性优先级(实测)：伤害加成%(独立乘区)>攻击%>防御%>生命%>兵力。,知乎专栏(zhuanlan.zhihu.com/p/464730098)+GameRes产品分析报告,"万国觉醒,ROK,战斗公式,实测验证,普攻系数192.54,√兵力,战斗规模系数",深度
系统,【竞品·万国觉醒核心系统拆解】核心循环：建城→升科技→训兵→打蛮族→集结PvP→KvK跨服。差异化设计(vs COK-Like)：(1)统帅+兵种分离——统帅不绑定兵种，任意统帅可带任意兵种，组合灵活度高；(2)实时行军可视——地图上可见所有部队移动轨迹；(3)集结即时制——非预约制，发起后实时汇合出发；(4)迷雾探索——新地图需侦察解锁。城建系统：主城Lv1~25，Lv25需约6个月F2P进度。五种资源：粮食/木材/石头/金币/宝石(硬通货)。联盟系统：联盟旗帜插旗占地+联盟科技+联盟商店。KvK系统：开服约90天首次KvK，8王国混战，持续约3周。,网络搜索+GameRes产品分析报告,"万国觉醒,ROK,核心循环,统帅系统,城建,KvK",深度
策划,【竞品·万国觉醒商业化拆解】付费模型：(1)月卡($4.99/月，每日200宝石+加速+资源)→核心付费转化工具；(2)成长基金($9.99一次性，按城堡等级解锁奖励)；(3)统帅抽卡(黄金钥匙/传奇统帅碎片)→长线付费深度核心；(4)赛季战令($4.99~$14.99/赛季)；(5)日常礼包/限时折扣。付费深度：微氪$5~20/月(月卡+战令)/中氪$50~200/月(抽卡+礼包)/大R$500+/月(限定统帅满星)。全球月流水约$5000万~$8000万(SensorTower公开数据)。ROK商业化特点：统帅碎片系统创造了极深的付费深度(满星需要数千碎片)，但月卡性价比极高保护了小R体验。,网络搜索+SensorTower公开数据,"万国觉醒,ROK,商业化,月卡,抽卡,付费深度,LTV",深度
数值,【竞品·率土之滨战斗与武将系统拆解(实测验证版)】三武将编队(大营/中军/前锋)，攻击距离1~5(步1~3/骑1~3/弓3~5)决定站位。统率值(cost)1~4，队伍上限8~10。武将五维：攻击/攻城/防御/速度/谋略，五阵营(魏蜀吴汉群)。等级上限50级，每级+100兵力，满级满进阶最高33000兵力。普攻伤害公式(玩家实测)：伤害∝√(己方兵力)×(己方攻击/敌方防御×敌方生命值)×兵种克制×战斗规模系数。技能伤害=普攻伤害×技能系数×(1+技能伤害加成)，技能伤害不受兵种克制影响。战法体系(核心深度)：自带战法(不可拆)/继承战法(拆解武将获得)，5类(主动/被动/追击/指挥/阵法)×5品质(S/A/B/C/D)。兵种三角克制(弓克骑/骑克步/步克弓)+进阶转换(30级+天下大势后可转换为重步/长枪/禁卫/弩等)。进阶五次可额外+1500兵力(五星每次+300)。,知乎专栏(zhuanlan.zhihu.com/p/465669844)+玩家实测数据,"率土之滨,战斗公式,实测验证,三武将编队,战法体系,兵种转换,五维属性",深度
系统,【竞品·率土之滨赛季制与地图系统拆解】赛季制设计(率土首创)：赛季周期约3个月，结束后地图重置/势力重组，保留武将和部分资源。地图结构：225万格单元格(1500×1500)，分十三州+关隘分隔，破关需同盟多人协同。赛季阶段：S1~S3新手赛季(逐步开放玩法/增加PvE难度)→备战区→XP赛季(完整PvP)。赛季主题：每赛季不同特殊规则(群雄讨董/官渡之战/赤壁等历史剧本)。赛季重置的设计目的：(1)缩小新老玩家差距；(2)保持新鲜感；(3)不同赛季提供不同策略体验。同盟系统：以同盟为核心的PvP(非个人)，同盟占领州城/关隘/王城为赛季目标。率土的核心竞争力=赛季制+战法深度+社交博弈。,网络搜索+知乎竞品分析,"率土之滨,赛季制,地图系统,同盟,十三州,赛季重置",深度
策划,【竞品·率土之滨商业化与留存拆解】付费模型(vs ROK)：(1)武将抽卡(名将召募)——核心付费点，5星武将是战力核心；(2)战法拆解——拆低价值武将获取高价值战法，需要大量抽卡；(3)赛季通行证；(4)加速/资源包。率土商业化特点：战法系统创造了'拆卡'需求——玩家需要抽取大量武将用于拆解战法，间接提升了抽卡付费深度。留存设计：赛季制天然创造回归动机(新赛季=新开始)，同盟社交绑定极强(离开同盟=失去战力)，战法搭配研究创造了策略讨论社区(UGC驱动留存)。中国SLG市场月流水约3~5亿人民币。率土的设计哲学：重策略轻操作，重社交轻个人，重过程轻结果。,网络搜索+产品拆解,"率土之滨,商业化,抽卡,战法拆解,留存,赛季制",深度
数值,【竞品·王国纪元战斗与英雄系统拆解】COK-Like范式标杆。战斗公式(比值型简化)：伤害=总攻击力×(攻击/(攻击+防御))×兵种克制×随机浮动。四兵种：步兵/弓兵/骑兵/攻城车+陷阱(防守专用)。兵阶T1~T4(后扩展T5)，T4战力约为T1的8~10倍。英雄系统(双轨)：战斗英雄(带兵出征，技能影响战斗)+内政英雄(加速建造/研究)。英雄品质白→金，英雄勋章系统(碎片合成升星)。领主系统：领主唯一，带一支部队获全部加成，领主属性占总战力约60%。被俘系统：领主可被俘→赎金/悬赏/处决，是COK-Like最具特色的社交PvP机制。战斗特点：集结制(多人汇合攻击同一目标)，驻防制(部队驻守联盟建筑)。,网络搜索+产品拆解,"王国纪元,COK,战斗公式,英雄系统,领主,被俘系统,兵阶",深度
系统,【竞品·王国纪元联盟与KvK系统拆解】联盟系统(COK-Like核心)：联盟人数上限100人，R5~R1职位体系。联盟玩法：集结攻击(联盟成员汇合出征)/联盟怪物(协同击杀)/联盟礼物(集体充值触发)/达尔大陆(联盟PvE远征)/联盟堡垒(占领世界地图据点)。KvK跨服战：王国vs王国大战，匹配→迁移→战斗→结算。战斗目标：圣殿/要塞/奇观，占领获积分。KvK特色机制：混合王国(多个服务器合并为一个KvK王国)/迁移机制(付费迁移到更强王国)。王国纪元社交核心=联盟集结+领主被俘+联盟GvG，其中'领主被俘'是最强社交驱动(被俘玩家的联盟会全力营救)。,网络搜索+产品拆解,"王国纪元,COK,联盟系统,KvK,集结,领主被俘,联盟堡垒",深度
策划,【竞品·王国纪元商业化拆解】COK-Like商业化范式：(1)加速包——建筑/研究/训练加速是最大付费点(占40%+)，时间=金钱；(2)英雄勋章——抽卡/购买碎片升星；(3)装备锻造——材料获取需要持续付费；(4)VIP系统——VIP0~15，VIP15需累计充值约$10000+；(5)宝石(硬通货)——1宝石≈$0.01~$0.02。王国纪元月流水约$3000万~$5000万全球(IGG财报公开数据)。付费深度极深：满VIP+满装备+满英雄需要$50000+。COK-Like商业化特点：以'时间加速'为核心付费引擎——游戏中一切都需要时间，付费可以跳过等待。这创造了稳定持续的付费需求，但也导致了大R碾压问题。平衡策略：装备加成上限cap+联盟保护机制+新手护盾。,网络搜索+IGG财报+产品拆解,"王国纪元,COK,商业化,加速,VIP,英雄勋章,付费深度",深度
