知识类型,描述,来源,标签,质量
系统,【肉鸽核心循环——单局与Meta双循环】单局循环(Run)：选角色→进入地牢→房间选择(战斗/事件/商店/火堆)→战斗→获取奖励(卡牌/遗物/金币)→强化Build→面对更强敌人→Boss战→下一Act→通关或死亡。Meta循环(跨局)：死亡→获取Meta货币(暗月币/蜜露/经验)→解锁永久内容(新角色/新卡牌/新遗物/剧情进展)→下一局起点更丰富。双循环关系：单局提供即时爽感(Build成型的快感)，Meta循环提供长线动力(永远有新东西解锁)。核心体验公式：肉鸽乐趣=构筑惊喜(随机组合产生意外强力Build)×成长满足(每局都在变强)×学习曲线(死亡后理解失败原因)。,杀戮尖塔/Hades/暖雪核心循环分析,"核心循环,单局循环,Meta循环,双循环,构筑惊喜",深度
系统,【肉鸽地图/关卡系统设计】杀戮尖塔地图系统(品类标杆)：三层结构(Act1~3+隐藏Act4)，每Act约15个节点，节点类型=普通战斗(50%)/精英战斗(15%)/火堆(10%)/商店(10%)/事件(10%)/宝箱(5%)。分支路径设计：每层3~4个分支，玩家可选择不同路径(高风险高回报vs安全路线)。关卡节奏核心原则：单个关卡短平快(杀戮尖塔约1小时通关51层≈每层约1分钟)→快节奏→降低沉没成本→鼓励重试。Hades关卡结构：4大区域(Tartarus/Asphodel/Elysium/Temple of Styx)，每区域10~14个房间，房间类型(战斗/mini-boss/商店/Boon选择/Duo对话)。商店出现频率：玩家资源有一定积累但仅够买1~2件时出现，减少商店随机性=玩家可战略规划。,杀戮尖塔地图数据+Hades区域结构分析,"地图系统,关卡设计,节点类型,分支路径,关卡节奏,商店频率",深度
系统,"【肉鸽事件系统设计】事件(Event)是肉鸽叙事与资源管理的核心节点。杀戮尖塔52个事件，结构=触发条件(Act/层数/持有特定遗物)→描述文本→选项(2~4个)→每个选项有不同结果(获得/失去HP/金币/卡牌/遗物)。事件设计原则：(1)风险vs回报——高奖励选项必须有代价(如失去HP)；(2)信息不对称——部分选项结果未知，鼓励探索；(3)Build感知——某些选项仅在持有特定遗物/卡牌时出现(奖励系统深度学习)。事件字段模板：event_id/event_name/event_type(RANDOM/FIXED/SHRINE)/floor_range(出现层数)/weight(出现权重)/description/options[{text,condition,result_text,rewards[{type,value}]}]。优先级设计(Hades参考)：紧急剧情>新关系阶段>近期事件反应>未播放常规>通用闲聊。",spire-archive(52事件)+knowledge-base肉鸽事件模板+Hades叙事分析,"事件系统,风险回报,选项设计,事件模板,触发条件",深度
系统,【肉鸽角色/职业差异化设计】杀戮尖塔4角色设计(品类标杆)：Ironclad(铁甲战士)——力量叠加+自我治疗+高HP，入门友好；Silent(静默猎手)——毒药DOT+刀片回合后触发+弃牌/抽牌，技巧向；Defect(机器人)——充能球(闪电/冰霜/暗能量/等离子)轮转机制，机制独特；Watcher(观察者)——立场切换(平静/愤怒/神圣/上帝)，高风险高回报。差异化设计原则：(1)每个角色有独占资源类型(力量/毒/充能球/立场)；(2)每个角色有独占卡牌池(不共享)；(3)每个角色有不同风险偏好(Ironclad稳健/Watcher极端)。Hades差异化通过武器实现：6武器×4形态=24种玩法，每种武器改变战斗节奏而非仅改变数值。,spire-archive角色数据+spireofchaos.com+Hades武器系统,"角色设计,职业差异化,独占资源,铁甲战士,静默猎手,机器人,观察者",深度
系统,【肉鸽子品类对比与选型】肉鸽五大子品类：(1)Roguelike经典——回合制+永久死亡+程序化生成(Nethack/DCSS)，硬核小众；(2)Roguelite动作——即时动作+Meta进度+部分保留(Hades/Dead Cells/暖雪)，手感为王；(3)Roguelite卡牌——回合制卡牌构筑+地图路径选择(杀戮尖塔/小丑牌/怪物火车)，策略深度最高；(4)弹幕/幸存者like——大量敌人+自动攻击+Build叠加(吸血鬼幸存者)，减压爽感；(5)肉鸽模拟——经营/塔防+随机要素(Dome Keeper/明日方舟集成战略)，品类融合。选型建议：独立团队优先卡牌(美术成本低)+幸存者like(开发周期短)；中型团队可做动作肉鸽(需手感打磨)；大厂做品类融合(肉鸽+主品类如RPG/SLG)。,知识库综合+品类分析,"肉鸽子品类,Roguelike,Roguelite,卡牌构筑,幸存者like,选型建议",深度
系统,【肉鸽Ascension/高难度系统设计】Ascension(登塔)系统是杀戮尖塔的核心重玩驱动力——20级递增难度修正：A1精英怪+1/火堆回复减少；A2事件奖励减少；A3精英血量+Boss血量增加；A5增加精英出现率；A6起始遗物弱化；A10敌人攻击增加/减少药水上限；A15起始HP减少/Boss攻击增强；A17精英攻击增强；A18起始负面buff；A20Boss连战(两个Boss)。设计原则：每级只改变1~2个参数，逐步收紧资源/提升敌人→相同Build在不同Ascension体验完全不同。Hades热度系统类似：32级热度，每级选择性增加1个修正(敌人伤害+/减少治疗/加速Boss等)。高难度系统的商业价值：延长内容寿命5~10倍，驱动社区讨论(A20通关视频/攻略)，不增加美术资源。,杀戮尖塔Ascension系统+Hades热度系统,"Ascension,高难度,登塔系统,热度系统,难度修正,重玩驱动",深度
系统,【肉鸽商店/交易系统设计】商店是肉鸽中'用确定性资源换取确定性Build组件'的核心节点。杀戮尖塔商店：每次刷新5张卡(按稀有度定价Common50~75/Uncommon150~225/Rare300~450)+3个遗物(按等级定价)+药水+移除卡牌服务(75金/次递增)。商店设计要点：(1)价格=玩家做取舍决策的工具(买A就买不起B)；(2)移除卡是隐藏的最强操作(降低deck稀释=提高关键牌出现率)；(3)每Act保证1~2个商店节点，让玩家可以做战略规划。Hades商店(Charon)：每个区域1个，出售boon/血瓶/金币道具，价格固定，特殊商品需要特定货币(Charon's Obol)。商店出现时机：玩家金币积累到能买1~2件但买不起全部时→制造'二选一'的痛苦决策。,spire-archive商店数据+Hades Charon商店,"商店系统,卡牌定价,移除卡,资源取舍,Charon",深度
系统,【肉鸽存档与永久死亡机制】永久死亡(Permadeath)是肉鸽品类的定义性特征——死亡后本局所有进度清零(卡组/遗物/金币)，但Meta进度保留。设计目的：(1)提高每次决策的重量——每个选择都可能导致死亡；(2)消除'存读大法'——迫使玩家面对后果；(3)创造'再来一局'的心流——失败后立刻想重试而非放弃。减轻永久死亡压力的方法：Meta进度永久保留(解锁/升级)+每局时长控制在30~90分钟(沉没成本可控)+死亡有明确的原因反馈(让玩家知道为什么死)+死亡即回家(Hades把死亡变成叙事推进)。Roguelite vs Roguelike的核心区别：Roguelite=死亡保留部分进度(Meta进度/永久解锁)；Roguelike=死亡清零一切(纯粹的永久死亡)。当代商业肉鸽几乎全部是Roguelite。,知识库综合+肉鸽品类发展史,"永久死亡,Permadeath,Meta进度,Roguelite,存档机制,心流",深度
玩法,【肉鸽核心玩法循环与留存设计】肉鸽三要素(GameRes)：目标(通关/高分/全解锁)+成长(Build越来越强)+新鲜(每局不同体验)。单局时长与留存关系：30~60分钟最优(太短Build感弱/太长沉没成本高)，杀戮尖塔约60min/Hades约30min/吸血鬼幸存者约20min。留存驱动力三层：即时层=Build组合惊喜(这局抽到了神级Combo!)/短期层=解锁新内容(下一个角色/武器)/长期层=挑战高难(A20/32热度)。日均游玩时间目标：60~120分钟(2~4局)，月留存目标D30>15%(高于SLG)。肉鸽天然防流失：每局体验不同→内容消耗极慢→单个版本可玩数百小时(杀戮尖塔平均游玩时长>100h)。,GameRes肉鸽三要素+杀戮尖塔/Hades数据,"核心循环,留存设计,单局时长,三要素,Build惊喜,重玩性",深度
玩法,【肉鸽路径选择与风险管理设计】路径选择是肉鸽品类独有的策略层——在杀戮尖塔中，地图路径选择的深度≥战斗本身。风险管理四要素：(1)路径信息——玩家可见前方2~3层节点类型(不完全信息)；(2)资源预算——当前HP/金币/药水决定能承受多少风险；(3)Build需求——缺遗物→优先精英路线/缺升级→优先火堆路线；(4)时间窗口——Act1需快速成型否则Act2 Boss过不去。决策矩阵：精英路(高风险获遗物) vs 安全路(保HP) vs 商店路(花金币定向补强) vs 事件路(赌运气)。火堆二选一(杀戮尖塔核心决策)：回血(保安全) vs 升级卡牌(增强Build)——这个简单选择浓缩了肉鸽设计的精髓：安全与贪婪的永恒博弈。,spireofchaos.com+杀戮尖塔路径分析,"路径选择,风险管理,火堆决策,贪婪博弈,不完全信息",深度
玩法,【肉鸽品类融合设计范式】肉鸽作为'融合胶水'——几乎可以和任何品类组合：肉鸽+卡牌(杀戮尖塔)/肉鸽+动作(Hades)/肉鸽+弹幕(吸血鬼幸存者)/肉鸽+塔防(明日方舟集成战略)/肉鸽+经营(Dome Keeper)/肉鸽+SLG(星铁模拟宇宙)。融合时肉鸽提供的三个核心要素：(1)随机性——每局不同的地图/敌人/奖励组合；(2)构筑性——每局中逐步构建Build的成长曲线；(3)重玩性——永久死亡+Meta进度驱动'再来一局'。融合设计关键：主品类提供战斗/操作的即时体验，肉鸽要素提供Build构筑的策略深度+每局不同的新鲜感。最成功的融合=主品类手感好(Hades动作手感)+肉鸽深度够(boon/武器/keepsake组合空间巨大)。,知识库综合+多品类融合案例分析,"品类融合,肉鸽胶水,融合三要素,随机性,构筑性,重玩性",深度
玩法,【肉鸽社交与社区设计——单机品类的留存引擎】肉鸽虽以单机为主但社区是核心留存引擎。UGC驱动留存四种方式：(1)种子码分享——杀戮尖塔每日挑战(全球同一seed/排行榜)→社交比较驱动参与；(2)Build分享——'这局抽到了XXX组合，伤害999999'→社交炫耀驱动新玩家尝试；(3)攻略生态——A20/32热度通关攻略→延长内容寿命；(4)Mod生态——杀戮尖塔Mod社区极其活跃(新角色/新卡牌/新遗物)→无限内容扩展。每日挑战设计：固定seed+固定修正条件+全球排行榜，每日刷新→培养登录习惯。Hades社区设计：NPC好感度系统驱动'我推XXX'讨论+剧情讨论+speedrun社区。,杀戮尖塔社区+Hades社区+Steam创意工坊,"社区设计,UGC,每日挑战,Mod生态,种子码,Build分享",深度
玩法,【肉鸽商业化模型——买断/DLC/赛季/内购四种路径】买断制(杀戮尖塔$24.99/Hades$24.99)——依赖口碑长尾销售，首月销量决定成败，适合独立团队。DLC制(杀戮尖塔2/Hades2)——续作或大型DLC延续IP，间隔2~3年，单DLC$10~$15。赛季制(星铁模拟宇宙)——作为大型F2P游戏的子玩法，每版本更新祝福/奇物池+新机制，驱动角色抽卡。内购制(手游肉鸽)——角色/皮肤/Buff付费+体力限制+广告解锁，需要平衡付费深度与随机性公平性。商业化选型：独立/PC优先买断(用户量×$25)+DLC长尾；手游/F2P优先赛季制(作为子玩法驱动角色付费)；中度手游可做内购(体力+角色+赛季通行证)。,杀戮尖塔/Hades/星铁商业模式分析+SteamSpy公开数据,"商业化,买断制,DLC,赛季制,内购,付费模型选型",深度
策划,【竞品·杀戮尖塔核心系统拆解】品类定义者——肉鸽卡牌构筑(Roguelike Deckbuilder)。三层系统架构：一级(骨架)=战斗系统+地图系统，二级(血肉)=卡组+状态+商店，三级(灵魂)=遗物+药水。核心数据：361卡/181遗物/42药水/66怪物/52事件/4角色/3Act+隐藏Act4/20级Ascension。每局约60分钟/51层。战斗循环极简：抽牌→消耗能量出牌→计算伤害/格挡→敌方行动→新回合。卡牌价值锚点：1能量≈6伤害。反直觉三设计：格挡回合末清零/能量限3/敌人意图可见。Steam 97%好评/全球销量数百万份。杀戮尖塔2(Early Access)：577卡/289遗物/5角色+附魔系统(新增)。本质：一个精密的资源转化系统——每次点击都是风险评估。,spire-archive数据库+spireofchaos.com深度解析,"杀戮尖塔,Slay the Spire,卡牌构筑,三层架构,Ascension,97%好评",深度
策划,【竞品·杀戮尖塔数值与构筑设计拆解】卡牌分类原则：常规卡牌(单卡价值符合强度模型但难产生协同)/特殊卡牌(单卡价值低于模型但含非通用效果)/极少有单卡超模的卡牌——遗物与特殊卡牌的协同大幅提升其价值。铁甲战士力量流示例：单张打击弱→+活动肌肉+突破极限→单次输出数十倍→机制极致利用而非数值堆砌。卡组管理关键：理想15~25张，移除弱卡(移除服务75金递增)比加强卡更重要→降低deck稀释。4角色定位差异：Ironclad(力量叠加+自我治疗入门向)/Silent(毒药DOT+弃抽技巧向)/Defect(充能球轮转机制向)/Watcher(立场切换极端向)。流派多样性极高：每角色5+可行流派，流派间平衡性控制在5%以内。,spireofchaos.com+杀戮尖塔社区数据,"杀戮尖塔,卡牌分类,力量流,卡组管理,deck稀释,流派平衡",深度
策划,【竞品·Hades核心系统与叙事创新拆解】Hades是动作肉鸽的品类标杆——Supergiant Games开发，2020年正式发布。核心循环：选武器→进入地府4区域(Tartarus/Asphodel/Elysium/Styx)→战斗+选boon→Boss战→死亡/通关→回到大厅→NPC互动→下一局。核心创新——死亡循环叙事(Death Loop Narrative)：每次死亡=回家，NPC对话根据叙事进度动态更新，Zagreus约7962行对话。对话优先级系统：紧急剧情>新关系阶段>近期事件反应>未播放常规>通用闲聊。肉鸽叙事5条规则：(1)每次run至少一个新叙事触发；(2)关系进度独立于run结果(不因死亡重置)；(3)NPC之间会谈论彼此；(4)支线叙事无限延伸；(5)死亡=回家(把惩罚变奖励)。32角色/58个对话角色/20874行对话/236985词。,Hades叙事设计分析+VGDC对话统计+Hades-Dialogues数据,"Hades,动作肉鸽,死亡循环叙事,对话优先级,boon系统,叙事创新",深度
策划,【竞品·Hades战斗与Boon系统拆解】6武器体系：Stygian Blade(剑)/Heart-Seeking Bow(弓)/Shield of Chaos(盾)/Eternal Spear(矛)/Adamant Rail(枪)/Twin Fists(拳)，每武器4个Aspect(形态)=24种玩法。Boon体系(核心深度)：10+奥林匹斯神各自一套boon池，每神boon覆盖6个槽位(Attack/Special/Cast/Dash/Call/Passive)。稀有度4级：Common(+50%基准)/Rare(×1.3~1.5)/Epic(×1.8~2.0)/Heroic(×2.3~2.5)。Duo Boon(两神组合boon)=需要两个前置boon，提供独特强力效果。Keepsake(信物)系统：每NPC一个，首次赠蜜露解锁，3级升级(需重复赠送)，提供被动加成(如增加特定神boon出现率)。热度(Heat)系统：32级自选难度修正，高热度奖励独占资源。,hades_json_data boon配表+Hades武器数据+GameRes产品分析,"Hades,boon系统,武器Aspect,Duo Boon,Keepsake,热度系统",深度
策划,【竞品·星铁模拟宇宙系统拆解】模拟宇宙是星穹铁道的核心肉鸽子玩法——将回合制RPG战斗+肉鸽Build构筑融合。核心结构：选角色编队(4人)→进入模拟宇宙→路径选择(战斗/事件/商店/Boss)→获取祝福(Boon)→Boss战→下一层→通关。祝福体系(核心)：按星神(命途)分组——存护/毁灭/巡猎/智识/虚无/丰饶/欢愉等8+命途，每命途10~20个祝福×多等级(强化/共鸣触发)。奇物系统：类似遗物，按稀有度分级，提供被动加成。数据规模：104个JSON配表，覆盖祝福187KB+迷宫Buff304KB+怪物116KB+NPC对话103KB+地图134KB。差分宇宙(DLC版)：新增骰子机制+棋盘地图+衰变Boss系统，增加策略层级。模拟宇宙的商业价值：驱动角色抽卡(特定角色在特定命途下极强)+版本更新内容(新命途/新祝福)。,StarRailData 104个Rogue*.json配表+产品分析,"星铁,模拟宇宙,祝福体系,星神命途,奇物,差分宇宙,角色驱动",深度
策划,【竞品·明日方舟集成战略拆解】集成战略(Integrated Strategies)是明日方舟的肉鸽子玩法——将塔防战斗+肉鸽路径选择融合。5期内容(ro1傀影/ro2水月/ro3探索者/ro4萨卡兹/ro5)，数据规模：roguelike_topic_table 15MB+500+关卡JSON+44剧情脚本。核心机制：选干员编队→路径选择(战斗/事件/商店/安全屋)→获取秘术(收藏品=遗物)→推进层数→Boss战→多结局。独特设计：(1)干员招募——每节点可招募新干员，非预组队而是逐步扩充；(2)希望值——失败惩罚不是直接死亡而是扣希望值，归零才结局；(3)多结局——根据选择路径和收藏品触发不同结局(4~5个)，驱动重玩；(4)塔防+肉鸽融合——每次战斗是完整的塔防关卡(放置干员/路径规划/时序管理)。,ArknightsGameData roguelike配表+明日方舟集成战略剧情脚本,"明日方舟,集成战略,塔防肉鸽,干员招募,希望值,多结局",深度
策划,【竞品·吸血鬼幸存者系统拆解】吸血鬼幸存者(Vampire Survivors)=$3定价/Steam畅销榜常客/开创'幸存者like'子品类。核心循环极简：移动→自动攻击→击杀获经验→升级选加成(3选1)→存活到30分钟→Boss Rush。设计要点：(1)操作极简化——只需移动，攻击全自动→买量友好+手游化天然适配；(2)数值大膨胀——从单发小子弹到满屏轰炸，视觉冲击=爽感核心；(3)武器进化——2个武器+对应被动=进化武器(质变)，驱动Build规划；(4)单局20~30min——极低沉没成本→'再来一把'心理极强。幸存者like成功密码：低操作门槛+高Build组合深度+视觉膨胀爽感+极短开发周期(1人开发→千万级销量)。手游化路径：加入体力系统+角色抽卡+赛季通行证+联机协作。,Steam数据+Vampire Survivors产品分析+poncle GDC分享,"吸血鬼幸存者,Vampire Survivors,幸存者like,自动攻击,武器进化,极简操作",深度
策划,【肉鸽品类市场分析与立项建议】市场规模：Steam肉鸽标签游戏5000+款，近3年年增长30%+，杀戮尖塔累计销量1000万+，Hades 600万+。用户画像：男性75%+/25~35岁/PC&Switch为主/核心策略玩家/人均游玩时长100h+。竞争格局：头部固化(杀戮尖塔/Hades定义品类)+中腰部活跃(小丑牌/暖雪/Dead Cells)+创新品类不断涌现(幸存者like/怪物火车/巨神狩猎)。差异化方向：新战斗机制(小丑牌的扑克牌机制)/新题材(暖雪东方修仙)/新品类融合(肉鸽+射击/肉鸽+经营)/新平台(手游/小游戏化)。立项检查清单：(1)核心战斗手感是否过关(肉鸽用户对手感极敏感)；(2)Build组合空间是否够大(≥100种可行Build)；(3)单局时长是否合理(30~60min)；(4)Meta进度是否有意义(每次失败都在推进something)。,SteamSpy数据+品类趋势分析+GameRes,"市场分析,立项建议,用户画像,差异化,竞争格局,Build空间",深度
剧情,【肉鸽叙事设计——死亡循环叙事方法论】死亡循环叙事(Death Loop Narrative)是肉鸽品类独有的叙事结构——Hades首创并证明了'肉鸽可以讲好故事'。核心设计：每次死亡=回家→NPC对话根据当前叙事进度动态更新→玩家'永远有新内容看'→死亡不是惩罚而是奖励(回家看新剧情)。实现方法：每个NPC维护一个极深的对话池(Zagreus 7962行)→对话优先级系统(紧急剧情>关系阶段>事件反应>常规>闲聊)→关系进度独立于run结果(不因死亡重置)。叙事设计五原则：(1)每次run至少一个新叙事触发；(2)NPC之间会谈论彼此(世界感)；(3)支线叙事无限延伸(总有新目标驱动下一局)；(4)失败也有收获(战争失败触发新剧情)；(5)环境叙事+碎片叙事(不依赖长对话)。肉鸽叙事对其他品类的启发：SLG赛季叙事可借鉴'每次登录有新内容'/武将好感度←关系进度独立。,Hades叙事设计分析+VGDC对话数据+GDC叙事方法论,"死亡循环叙事,对话优先级,Hades叙事,关系进度,碎片叙事",深度
