知识类型,描述,来源,标签,质量
数值,【通用经济系统设计框架】游戏经济三要素：货币(硬通货+软通货)×产出(时间产出+行为产出+付费产出)×消耗(成长消耗+消耗品+交易税)。产出消耗平衡：产出消耗比=0.8~1.2为健康，>1.5通胀风险，<0.6通缩风险。通胀控制PID模型：dβ/dt=-kp(π-π*)-ki∫(π-π*)dt，目标通胀2%。多货币体系设计：硬通货(充值获得/不可交易)→软通货(游戏内获得/可交易)→材料(系统定价/消耗驱动)。定价锚点：以玩家月均可获取量为基准，稀有物品定价=3~5倍月获取量。,knowledge-base/numerical/math-models/,"经济系统,通胀控制,产出消耗比,多货币,PID模型,定价",深度
数值,【通用数值平衡方法论】平衡性三维度：(1)横向平衡——同级角色/单位间DPS差异<15%、生存差异<20%、PvP胜率45~55%；(2)纵向平衡——等级/品质间战力梯度清晰，N+1级=N级×1.05~1.15(RPG)或×1.5~2.0(SLG兵阶)；(3)生态平衡——Meta多样性Shannon熵H≥2.0，Simpson指数D≤0.3，流动性F=(1/T)×Σ||p_t-p_{t-1}||>0.1。数值三大忌：耦合循环(调A→B→C→A)、能力模糊(属性边界不清)、复杂计算(玩家无法理解)。平衡调整优先级：先调系数(最低风险)→调公式(中风险)→调机制(高风险)。,knowledge-base/numerical/balance/,"数值平衡,横向平衡,纵向平衡,Meta健康度,Shannon熵,三大忌",深度
剧情,【通用叙事设计方法论】四层叙事设计法(4-Layers)：(1)Gameplay层——核心玩法本身讲述的故事(资源管理=生存压力)；(2)World层——环境叙事(场景/物品/NPC)；(3)Story层——显式剧情(对话/CG/过场)；(4)Mental Model层——玩家脑中构建的个人叙事。互动叙事三种结构：线性(固定流程)/分支(选择影响结局)/涌现(系统生成故事)。角色塑造五要素：目标(want)+缺陷(flaw)+弧光(arc)+关系网(relationship)+标志性台词(voice)。叙事节奏=紧张-释放循环，推荐每15~20分钟一次情感节拍。,knowledge-base/gameplay/narrative/methodology/,"叙事设计,四层叙事,互动叙事,角色塑造,叙事节奏",深度
剧情,【通用世界观构建框架】世界观三层结构：宏观(宇宙法则/历史年表/地理版图/主要文明)→中观(阵营关系/核心冲突/政治经济/文化宗教)→微观(个人故事/城市传说/物品来历/日常细节)。世界圣经(Lore Bible)标准目录：1.创世神话/2.历史纪年/3.地理大陆/4.种族文明/5.政治势力/6.宗教信仰/7.魔法/科技体系/8.经济贸易/9.语言文字/10.日常生活。一致性检查清单：阵营美术风格/角色命名规则/建筑风格/BGM风格/UI语言必须与世界观匹配。世界观设计原则：必须服务于玩法(解释为什么打)、预留扩展空间(DLC/赛季)、避免过度设定(只设定玩家能接触到的)。,knowledge-base/gameplay/narrative/worldbuilding/,"世界观,三层结构,世界圣经,Lore Bible,一致性检查",深度
系统,【通用GDD文档结构框架】GDD(Game Design Document)标准15章结构：1.项目概述(定位/目标/平台)/2.核心玩法(循环/机制)/3.游戏世界(世界观/地理)/4.角色系统(属性/成长/技能)/5.故事与叙事(主线/支线/世界观)/6.关卡设计(流程/难度/地图)/7.战斗系统(公式/兵种/平衡)/8.经济系统(货币/产出/消耗)/9.社交系统(好友/公会/聊天)/10.UI/UX(界面布局/交互流程)/11.音效音乐(BGM/SFX)/12.美术风格(角色/场景/UI)/13.技术架构(客户端/服务端/网络)/14.商业化(付费/运营)/15.开发计划(里程碑/资源)。每章应包含：目标说明→核心机制→数据模型→界面原型→验收标准。,knowledge-base/system/gdd-templates/,"GDD,游戏设计文档,15章结构,文档框架",深度
系统,【通用AI决策系统设计框架】游戏AI四种决策模型：(1)有限状态机FSM——状态×转移条件，适用于简单NPC行为；(2)行为树BT——Selector/Sequence/Decorator层级结构，适用于中等复杂度AI；(3)效用AI(Utility AI)——每个行动评分Score=Σ(权重i×评价函数i)，选最高分执行，适用于策略AI；(4)GOAP目标导向行动规划——设定目标+可用行动+世界状态，自动规划行动序列。SLG/策略游戏推荐效用AI：8步流程=局势评估→基础权重→性格调整→局势调整→难度调整→生成决策→优先排序→筛选执行。难度调节方法：调整决策数量(简单3/普通5/困难8)+调整评估精度+调整资源加成。,knowledge-base/numerical/game-data/,"AI系统,有限状态机,行为树,效用AI,GOAP,决策评分",深度
策划,【通用游戏商业化设计框架】F2P商业化四支柱：(1)数值付费——加速/资源/战力提升，占比30~50%；(2)内容付费——角色/武将/皮肤/剧情，占比20~40%；(3)便利付费——自动/跳过/额外次数，占比10~20%；(4)社交付费——称号/装饰/排名展示，占比5~15%。LTV公式：LTV=ARPU×留存天数=ARPPU×付费率×留存天数。定价六档：$0.99(冲动购买)/$4.99(月卡级)/$9.99(小R甜点)/$19.99(中R常规)/$49.99(大R标配)/$99.99(鲸鱼入门)。首充设计：低价($1~$6)+超值回报(10倍价值感)+独占内容，目标转化率>15%。月卡设计：30天连续领取，ROI=3~5倍，核心作用培养每日登录习惯。,知识库综合+网络搜索,"商业化,F2P,LTV,定价,首充,月卡,付费率",深度
策划,【通用留存设计方法论】留存三阶段：(1)首日留存(D1>40%)——核心体验必须在10分钟内触达，新手引导≤15步，首次正反馈≤3分钟；(2)周留存(D7>20%)——每日循环建立(日常任务+签到+限时活动)，社交绑定开始(加好友/加公会)，短期目标明确(7日成长目标)；(3)月留存(D30>10%)——长线目标展开(赛季/排名/收集)，社交沉没成本累积(公会等级/好友关系)，付费习惯形成(月卡续费)。防流失三要素：预警(行为数据监控)→干预(回归礼包/推送)→复盘(流失原因分析)。留存核心公式：留存=内容新鲜度×社交绑定强度×目标清晰度/挫败感×竞品吸引力。,知识库综合+网络搜索,"留存设计,D1留存,D7留存,D30留存,防流失,新手引导",深度
策划,【通用竞品分析方法论】竞品分析六维框架：(1)核心循环——核心玩法循环图+时间分配+正负反馈点；(2)数值体系——伤害公式类型+成长曲线+经济模型+付费膨胀倍率；(3)社交设计——社交层级+社交玩法+社交付费点；(4)商业化——付费模型+ARPU/LTV+付费深度+付费节点；(5)内容节奏——版本更新频率+赛季/活动周期+内容消耗速度；(6)技术实现——客户端引擎+服务端架构+网络同步方案。竞品选择原则：同品类头部2~3款+同品类创新1~2款+跨品类借鉴1款。输出物：竞品对比矩阵表+各维度优劣分析+可借鉴设计清单。,知识库综合,"竞品分析,六维框架,核心循环,数值体系,商业化,对比矩阵",实质
玩法,【品类融合设计方法论——融合模式与架构】品类融合三种模式：(1)主从模式——一个品类为核心循环(主)，另一个品类为辅助体验(从)，如无尽冬日=SLG(主)+模拟经营(从)+放置(从)；(2)并列模式——两个品类权重相当，通过共享资源系统连接，如明日方舟=塔防(战斗)+基建(经营)各占50%时间；(3)嵌套模式——外层品类包裹内层，玩家体验逐层深入，如SLG外层(大地图/联盟)+RPG内层(英雄养成/推关)。融合设计四步法：Step1确定主品类(决定核心留存驱动力)→Step2选择融合品类(补足主品类短板，如SLG社交强但前期体验弱→融合经营/放置改善前期)→Step3设计资源桥梁(主从品类共享什么资源/产出消耗如何互通)→Step4设计时间轴渐进(玩家何时从从品类过渡到主品类)。融合失败三大原因：资源系统割裂(两套玩法各玩各的)、节奏冲突(经营需要慢节奏vs战斗需要快节奏)、付费点分散(玩家不知该投入哪个系统)。,知识库综合+无尽冬日/明日方舟/剑与远征产品分析,"品类融合,主从模式,并列模式,嵌套模式,融合设计四步法",深度
玩法,【品类融合设计方法论——渐进式解锁与用户转化】渐进式系统解锁方法论：核心原则——玩家进入游戏时只体验最轻量的品类，随时间逐步解锁更重度的品类玩法。时间轴设计模板：D1仅开放最休闲的玩法(建造/放置/单机PvE)→D2~3开放弱社交(联盟加入/异步合作)→D4~6开放同步合作PvE(联盟副本/世界Boss)→D7+开放PvP(排名/对抗)→D14+开放深度PvP(GvG/跨服)。解锁节奏公式：每层解锁间隔=前一层玩家熟练所需最短时间×1.5安全系数。用户转化漏斗：休闲用户(100%)→完成新手引导(70%)→加入联盟(40%)→参与首次PvP(20%)→成为长期SLG玩家(10%)。每层转化率目标≥50%，低于30%说明过渡太突兀。关键设计：每次解锁新系统必须伴随明确的利益驱动(更好的资源/更强的装备)，而非强制要求。,知识库综合+无尽冬日/剑与远征/菇勇者传说产品分析,"渐进式解锁,系统解锁时间轴,用户转化漏斗,品类融合,休闲转重度",深度
玩法,【新手引导设计规范——原则与分钟级编排】新手引导核心目标：10分钟内让玩家体验到核心乐趣(First Fun Moment)。三种引导类型：(1)强引导——手指光圈+强制操作，用于核心操作教学(≤8步)；(2)弱引导——高亮提示+可跳过，用于次要功能；(3)环境引导——通过场景/NPC/奖励自然引导，无UI提示。分钟级体验编排模板：0~1min角色创建+世界观30秒CG→1~3min首次核心操作(建造/战斗/抽卡)+首次正反馈(升级/获得奖励)→3~5min第二轮核心循环+解锁第二个系统→5~10min自由探索+引导首充/社交→10~30min每日循环建立(日常任务体系展开)。引导设计三原则：(1)教一个用一个——教完立刻让玩家自己操作一次；(2)奖励驱动——每完成一步引导必给奖励；(3)允许失败——首次战斗不可能输，首次建造不可能选错。,知识库综合+GDC新手引导最佳实践+多款游戏引导拆解,"新手引导,分钟级编排,强引导,弱引导,首次正反馈,First Fun Moment",深度
玩法,【新手引导设计规范——防流失关键节点与AB测试】新手期五大流失节点及对策：(1)0~30秒——加载/创角过长→压缩到15秒以内，提供默认角色一键开始；(2)1~3分钟——操作不理解→首个操作必须是最简单的点击(如点击建造)而非复杂交互；(3)5~10分钟——没有目标感→显示清晰的任务链和进度条，让玩家知道下一步做什么；(4)D1结束——没有形成登录习惯→设置次日登录大奖(价值≥首日总收益的50%)，推送提醒；(5)D3——首次被其他玩家攻击/遇到付费墙→提供免费护盾/限时礼包/难度降低。引导AB测试框架：测试维度(引导步数/引导类型/奖励量/是否可跳过)×核心指标(引导完成率/D1留存/首充率/D7留存)。行业基准：引导完成率≥75%，引导后D1留存≥45%，引导中首充转化≥8%。引导长度经验值：休闲游戏≤3分钟/中度≤10分钟/重度≤20分钟。,知识库综合+GDC+多款游戏数据,"新手引导,流失节点,AB测试,引导完成率,D1留存,防流失",深度
策划,【活动设计体系——活动分类与设计框架】游戏活动三大类：(1)消耗类活动——限时任务消耗已囤积的资源/道具，产出稀有奖励，驱动付费补充消耗，代表'最强领主'(5天全服排行，大量消耗加速资源，产出特殊英雄碎片)；(2)礼包类活动——Battle Pass形式，每日活跃积攒点数解锁奖励层级，免费层25~40%+付费层60~75%，利用损失厌恶(已积攒的点数不买付费档就浪费)驱动付费；(3)玩法类活动——限时开放特殊玩法(限时副本/特殊规则PvP/协作Boss)，排行榜竞争驱动参与。活动设计五要素：目标(消耗/拉新/回流/付费)+时长(1天/3天/7天/14天)+参与门槛(等级/战力/联盟)+奖励结构(阶梯/排名/里程碑)+经济影响评估(产出量/消耗量/对经济的冲击)。,知识库综合+无尽冬日/万国觉醒/原神活动体系分析,"活动设计,消耗活动,礼包活动,玩法活动,Battle Pass,活动五要素",深度
策划,【活动设计体系——活动节奏编排与赛季活动】活动节奏编排原则：(1)永远有活动在进行——玩家任何时候登录都有事做；(2)大小交替——大活动(7~14天消耗类)→小活动(1~3天玩法类)→大活动，防止疲劳；(3)付费节奏——每周至少1次付费冲动机会，每月至少1次大促(限定角色/大折扣)。赛季活动编排模板(以8周赛季为例)：W1开服庆典(7天登录+首充双倍)→W2成长冲刺(建筑/科技排行)→W3~4联盟活动(联盟协作PvE/联盟排名)→W5付费大促(限定英雄/半价礼包)→W6~7赛季高潮(KvK/跨服活动)→W8赛季结算(排名奖励/赛季回顾)。活动ROI评估：活动投入(开发成本+奖励成本)÷活动产出(付费增量+留存增量×LTV)≥3为及格，≥5为优秀。,知识库综合+SLG/RPG活动运营经验,"活动节奏,赛季活动,活动编排,活动ROI,大小交替,付费节奏",深度
策划,【活动设计体系——活动数值平衡与复盘】活动数值设计三原则：(1)免费玩家能拿到40~60%奖励(保持参与感)，付费玩家拿100%(体现付费价值)；(2)活动产出不超过日常产出的2倍(防止经济崩溃)；(3)排名奖励差距≤3倍(第1名vs第100名)，防止马太效应。活动经济影响评估清单：活动期间资源净产出量/活动消耗的存量资源/活动后玩家战力膨胀率/活动对付费率的影响/活动对留存的影响。复盘模板(活动结束后48h内)：参与率(目标≥60%)×付费转化率(目标≥活动前+3%)×人均消耗量×活动期间DAU变化×玩家满意度(问卷/评论)。常见问题清单：奖励给多了(通胀)/给少了(弃坑)/难度太高(只有大R能打)/时间太长(疲劳)/与其他活动撞期(分散付费)。,知识库综合+运营数据经验,"活动数值,活动平衡,活动复盘,经济影响,免费vs付费,马太效应",深度
策划,【礼包设计方法论——定价策略与折扣感知】礼包设计核心：让玩家觉得'不买就亏了'。定价梯度设计：$0.99破冰礼包(首次付费转化)→$4.99~$6.99月卡/周卡(培养付费习惯)→$9.99~$19.99中档礼包(常规付费甜点)→$49.99~$99.99大礼包(大R标配)→$99.99+限定礼包(鲸鱼向)。折扣感知设计：标注原价vs现价，折扣率2000%~3000%(10倍~30倍价值感)计算方法=礼包内所有物品按商店最小单价累加÷实际售价。海量小额策略：中前期礼包集中在$3~$10区间，降低付费心理门槛，高频低价>低频高价。限时限购三要素：倒计时(24h/72h)→限购次数(终身1次/每日1次/每周1次)→场景触发(主城升级/首次失败/获得稀有角色时弹出)。,知识库综合+无尽冬日/万国觉醒/原神礼包设计分析,"礼包设计,定价梯度,折扣感知,限时限购,海量小额,付费破冰",深度
策划,【礼包设计方法论——付费破冰与闭环模型】付费破冰设计(首次付费转化)：首充礼包=$1~$6定价+10倍价值感+独占角色/皮肤，目标转化率≥15%。破冰后留存设计：首充→月卡(连续付费习惯)→成长基金(长线投资感)→赛季战令(每赛季固定消费)→限定角色/礼包(冲动消费)。付费闭环五步模型：Step1痛点构建——通过玩法制造需求(建造时间长/战斗打不过/排名低)→Step2价值感知——礼包弹窗展示解决方案(加速/英雄/资源)→Step3冲动制造——限时折扣+稀缺性(还剩2h/终身限购1次)+损失厌恶(已积累的进度不花钱就浪费)→Step4即时反馈——付费后立刻看到效果(战力提升/排名上升/联盟赠礼炫耀)→Step5价值强化——反馈强化'花钱=变强'的价值观，增强下次付费意愿。分渠道英雄获取设计：首充绑定英雄A/VIP绑定英雄B/限时礼包绑定英雄C，每个英雄有独占BUFF且无法通用碎片兑换，强制多渠道付费。,知识库综合+无尽冬日付费闭环分析+GameRes,"付费破冰,首充设计,付费闭环,痛点构建,即时反馈,分渠道获取",深度
玩法,【社交渐进引导方法论——按天设计社交深度】社交设计核心原则：玩家从'独自游玩'到'离不开团队'的过渡必须平滑自然。七日社交引导模板：D1~2弱合作(联盟互助=点击按钮帮加速，零交互成本)→D3异步合作PvE(联盟集结打Boss，支持自动加入，不要求实时在线)→D4~5同步合作PvE(需约定时间+联盟投票决定活动时间，首次体验真正的多人协作)→D7联盟PvP(堡垒争夺/攻城守城，需联盟指挥协调)→D14模拟战场(不损兵的练习PvP，降低学习成本)→D21+全面GvG(本服争霸决出国王+跨服战斗)。社交粘性三要素：(1)弱者有价值——低战力玩家能通过采集/侦察/补给为联盟贡献；(2)强者需要弱者——集结需要人头/联盟科技需要全员捐献；(3)背叛有代价——离开联盟失去领地/科技/好友关系。社交留存公式=联盟活跃天数×盟内好友数×联盟战参与次数。,知识库综合+无尽冬日/万国觉醒社交设计分析,"社交引导,渐进式社交,联盟设计,弱者价值,社交留存,七日引导",深度
玩法,【放置/挂机系统通用设计框架】放置系统核心循环：推关解锁挂机收益→挂机积累资源→资源投入角色养成→养成后推更高关卡→更高挂机收益。三大模块：(1)推关系统——自动战斗/手动操控可选，5英雄编队(前排2+后排3)，关卡难度=BaseHP×1.08^关卡数，每20~30关一个Boss关；(2)挂机收益——离线也产出(经验/金币/装备碎片)，产出量=当前关卡基础值×时间(分钟)×VIP加成，上限8~12小时；(3)异步竞技场——玩家布阵防守阵容+选择对手挑战，ELO积分排名，每日结算排名奖励。养成四维度：等级(消耗经验)×星级(消耗碎片/重复角色)×技能(消耗专用素材)×装备(掉落+合成)。关键设计：推关卡住=付费点(购买资源加速养成)，竞技场排名=社交压力(花钱维持排名)。放置系统适合作为SLG/策略游戏的前期留存工具——轻操作+即时反馈+离线收益。,知识库综合+剑与远征/无尽冬日/菇勇者传说产品分析,"放置系统,挂机,推关,竞技场,离线收益,编队,养成四维度",深度
玩法,【模拟经营系统通用设计框架】模拟经营核心循环：建造设施→指派人员→生产资源→升级设施→解锁新功能。五大系统模块：(1)建造系统——网格/自由放置，建筑类型(资源生产/加工/存储/功能/装饰)，升级消耗资源+时间；(2)人员指派——NPC/居民分配到建筑工作，人员有属性(效率/心情/技能)影响产出；(3)资源循环——初级资源(采集)→加工资源(工坊)→高级资源(科技)，形成生产链；(4)满意度/压力系统——温度/食物/住房/娱乐影响居民满意度，满意度>80产出+10%，<30可能叛乱/离开；(5)灾害/事件——随机事件(天灾/疾病/外敌)打破稳态，制造紧迫感和付费需求。经营系统适合作为SLG的前期留存工具——直观的建造成就感+低操作门槛+'我的基地在成长'的养成感。与SLG融合的关键桥梁：经营产出的资源=SLG战斗的消耗(粮草/兵力/装备)。,知识库综合+冰汽时代/无尽冬日/动物园之星产品分析,"模拟经营,建造系统,人员指派,满意度,资源循环,灾害事件",深度
策划,【买量/UA通用方法论】用户获取(UA)核心指标：CPI(单用户获取成本)×付费率×ARPU=ROI，ROI>1才可持续买量。买量素材策略：素材类型按CTR(点击率)排序——可玩广告(Playable)>视频广告(15~30秒)>图片广告。题材与CTR的关系：末日/生存题材CTR远高于传统SLG军事题材(无尽冬日核心洞察)，休闲/合成题材CTR高于策略题材。买量漏斗：展示(CPM)→点击(CTR目标≥2%)→下载(CVR目标≥30%)→激活→留存→付费。素材迭代节奏：每周3~5组新素材，衰减周期7~14天，爆款素材可持续1~3个月。地区定价差异：北美CPI $5~$15/日韩$3~$8/东南亚$0.5~$2/中东$2~$5。SLG买量特殊策略：用休闲题材买量吸引中轻度用户，游戏内渐进式转化为SLG重度用户(无尽冬日模式)。,知识库综合+SensorTower公开数据+无尽冬日买量分析,"买量,UA,CPI,ROI,素材策略,可玩广告,题材CTR",深度
系统,【角色/英雄系统通用设计框架】英雄体系三层结构：(1)获取层——抽卡(核心付费)+碎片合成(长线保底)+活动赠送(留存驱动)+首充/VIP绑定(付费破冰)；(2)养成层——四维度养成：等级(经验)×星级(碎片)×技能(专用素材)×装备(掉落+锻造)，四维度独立成长互不依赖；(3)使用层——编队(PvE 3~5人/PvP 3~5人)+定位(前排坦克/后排输出/辅助治疗)+兵种适性(步/骑/弓各英雄有适性加成)。英雄池设计：每赛季15~20名英雄，品质分4~5档(N/R/SR/SSR/UR)，SSR以上为核心付费点。品质与获取概率：N(不可抽)/R(常规产出)/SR(3~5%抽取率)/SSR(0.5~1%+保底)。分渠道获取设计(付费最大化)：首充英雄A+VIP专属英雄B+限定礼包英雄C+赛季战令英雄D，每个渠道绑定独占英雄且不可替代。,知识库综合+无尽冬日/万国觉醒/原神英雄系统分析,"英雄系统,角色设计,四维养成,分渠道获取,英雄池,品质分档",深度
玩法,【关卡设计通用方法论】关卡设计三要素：空间(地图布局/可交互对象)×规则(胜负条件/限制条件/特殊机制)×节奏(难度曲线/时间控制/情绪曲线)。难度曲线四种模型：(1)线性递增——每关难度+5%，适合休闲游戏；(2)锯齿型——每N关一次难度跳跃(Boss关)然后回落，适合放置/RPG；(3)阶梯型——平台期(10~20关同难度)+跳跃(解锁新机制后难度提升)，适合策略游戏；(4)自适应——根据玩家表现动态调整(DDA)，胜率>70%提升难度/<30%降低。关卡类型：教学关(前3~5关，必胜)→常规关→精英关(额外奖励)→Boss关(每章最后)→隐藏关(解锁条件)。关卡经济：每关固定产出+首通奖励+星级奖励(1~3星)，星级条件(通关/无死亡/限时)。,知识库综合+GDC关卡设计讲座,"关卡设计,难度曲线,锯齿型,自适应难度,Boss关,星级奖励",深度
系统,【渐进式系统解锁设计方法论】系统解锁核心原则：玩家永远只面对当前能理解的复杂度，新系统在玩家需要时才出现。解锁条件三种类型：(1)等级/主线触发——主城Lv5解锁联盟/Lv10解锁PvP，最常用但缺乏灵活性；(2)时间触发——注册后第3天解锁竞技场/第7天解锁跨服，无尽冬日核心方法，保证所有玩家体验节奏一致；(3)行为触发——完成特定操作后解锁(首次满星通关→解锁扫荡功能)，最符合认知但难控制。解锁节奏公式：系统总数N个，前期(D1~D3)解锁40%核心系统，中期(D4~D14)解锁40%进阶系统，后期(D14+)解锁20%深度系统。每次解锁必须配套：引导教程+首次奖励+新手保护期。信息过载防控：同一时间玩家可见的系统入口≤7个(米勒法则)，新解锁系统用红点+NEW标记引导，3天后降级为弱提示。,知识库综合+无尽冬日/万国觉醒/原神系统解锁节奏分析,"系统解锁,渐进式设计,时间触发,等级触发,信息过载,米勒法则",深度
