知识类型,描述,来源,标签,质量
系统,【RPG社交系统设计——公会与组队】RPG社交系统三层：(1)弱社交——好友列表/私信/点赞，门槛低，覆盖所有玩家；(2)中社交——组队副本/PVP匹配，需要临时协作；(3)强社交——公会/联盟，长期归属感，是留存核心。公会系统关键功能：公会任务（共同目标）+公会仓库（资源共享）+公会等级（集体成长感）+公会战（竞争激励）。组队设计原则：副本职能互补（不可全输出通关）、队友贡献可见（避免躺赢）、随机匹配+固定组队双轨。社交留存机制：公会日常任务绑定登录习惯，公会战增加周期性仪式感。,WOW公会系统+梦幻西游帮派分析+原神联机设计,"社交系统,公会设计,组队机制,弱社交,强社交",深度
系统,【RPG地图与世界设计框架】RPG地图设计五要素：(1)空间层次——大世界地图/区域地图/副本地图三层，层次越深越聚焦；(2)探索密度——每100m²内应有1-3个可交互点，过稀疏感觉空洞；(3)视野引导——视觉焦点引导玩家方向（高塔/光柱/路径）；(4)快速移动——传送点间距控制在5-10分钟步行距离；(5)区域特色——每个区域有唯一视觉主题+独特敌人类型+特有资源。开放世界额外设计：POI（兴趣点）密度>=1个/分钟探索时间，随机事件维持探索新鲜感。,塞尔达传说/原神/上古卷轴世界设计分析,"地图设计,世界构建,探索密度,视野引导,开放世界",深度
玩法,【RPG核心循环设计——战斗-成长-探索三角】RPG核心循环由三个环路驱动：(1)战斗循环（短循环，1-5分钟）——遭遇敌人→战斗→获得奖励→增强角色；(2)成长循环（中循环，30-60分钟）——完成副本/主线→升级/获得装备→解锁新区域/新挑战；(3)探索循环（长循环，数小时）——探索新地图→发现新内容→推进叙事/世界观。三个循环相互嵌套，短循环服务中循环，中循环服务长循环。设计原则：每个循环末尾需有明确奖励感和下一循环的期待钩子。失速诊断：玩家流失通常发生在循环断裂点（无明确下一步目标）。,RPG设计方法论+原神/星穹铁道核心循环分析,"核心循环,战斗循环,成长循环,探索循环,钩子设计",深度
玩法,【RPG副本设计方法论】副本设计六要素：(1)进入门槛——战力要求/前置任务，控制挑战难度；(2)关卡结构——小怪群→精英→Boss的递进节奏，标准3-5个战斗单元；(3)机制设计——每个Boss有1-2个独特机制，不依赖数值碾压；(4)时间设计——单次时长15-30分钟为最佳（可完整体验+不疲劳）；(5)奖励结构——首通额外奖励+每日/每周锁定避免无限刷；(6)难度分级——普通/困难/噩梦，同内容服务不同玩家层次。Boss设计原则：阶段切换机制（HP阈值触发）+全队参与机制（避免单人carry）+容错设计（复活/减员通关）。,WOW/FF14副本设计分析+GameRes关卡设计方法论,"副本设计,Boss机制,难度分级,奖励结构,副本节奏",深度
玩法,【RPG PVP系统设计——竞技平衡】RPG PVP设计三大挑战：(1)职业平衡——PVE平衡的职业在PVP中往往失衡，需独立的PVP数值系数（技能PVP伤害不等于PVE伤害）；(2)装备压制——高装备碾压低装备破坏竞技体验，解决方案：PVP专属属性上限（属性压缩）或统一PVP基础属性；(3)操作与策略权重——高操作性导致休闲玩家流失，建议设置段位匹配保证对等对局。竞技模式类型：1v1决斗（纯实力验证）/小队竞技（协作）/大规模战场（混乱但参与门槛低）。段位设计：青铜->白银->黄金->铂金->钻石->大师，每赛季重置，排名奖励驱动参与。,WOW竞技场+原神深渊+崩坏星穹铁道忘却之庭分析,"PVP平衡,职业平衡,属性压缩,段位系统,竞技设计",深度
玩法,【RPG新手引导设计】RPG新手引导三阶段：(1)基础操作引导（0-10分钟）——强制引导核心操作，单次引导不超过3个动作，即时反馈验证学习；(2)核心系统引导（10-60分钟）——逐步解锁系统，每个新系统有专属教程关卡，避免信息轰炸；(3)深度引导（1-3小时）——通过任务自然引导进阶玩法，不强制，鼓励探索。引导反模式：强制跳过不了的长篇教程、一次解锁所有系统、引导与实际玩法脱节。FTUE（首次用户体验）关键指标：教程完成率>80%、引导后次日留存>40%、首局完成时间15-30分钟为佳。,原神/FF14/宝可梦新手引导设计分析,"新手引导,FTUE,引导设计,操作引导,系统解锁",深度
策划,【RPG商业化设计——付费体系框架】RPG商业化三种主流模式：(1)买断制——一次性付费，无付费压力，适合单机；(2)订阅制——月卡/年卡，稳定收入，需持续内容更新；(3)免费+内购——流水潜力最大，需平衡付费/免费体验。内购设计原则：付费买外观（皮肤/时装）>付费买便利（经验加速）>付费买强度（数值道具）。首充礼包设计：定价6-30元，价值感知应为定价3-5倍，转化率目标15-30%。月卡设计：每日登录领取，月卡玩家留存比普通玩家高40-60%，推荐作为首选付费产品。抽卡保底：180抽内必出最高品质（行业标准），概率明示（法规要求）。,原神/星穹铁道/梦幻西游商业化分析,"商业化,付费体系,内购设计,月卡,抽卡保底",深度
策划,【RPG竞品分析——头部产品设计对比】头部RPG产品设计特征对比：(1)原神——开放世界+元素反应系统+角色收集，核心差异化：实时动作战斗+壮观场景探索，商业化靠角色抽卡，月活峰值5000万；(2)崩坏星穹铁道——回合制+剧情驱动+角色收集，差异化：低操作门槛+高叙事质量，同样抽卡商业化；(3)梦幻西游——社交+经济系统+PVP，差异化：强社交+复杂经济生态，付费买数值；(4)最终幻想14——订阅制+高质量剧情+职业系统，差异化：剧情质量极高+强公会社交。设计启示：现代成功RPG需要明确差异化支柱（1-2个），不能全面开花。,各产品公开数据+GameRes/机核游戏分析,"竞品分析,原神,星穹铁道,差异化,商业模式",深度
策划,【RPG运营活动设计节奏】RPG运营节奏框架：(1)日常活动——签到/日常任务，维持基础活跃，奖励适中；(2)周活动——周常副本/PVP赛季，驱动周期性高强度参与；(3)月活动——限时关卡/剧情活动，制造话题和回流动力；(4)版本活动（2-3个月）——新角色/新地图/新玩法，核心付费节点。活动强度配比：日常强度1，周活动强度3-5，月活动强度8-10，版本更新强度15-20。节假日活动：春节/圣诞等节点额外加码，礼包价格/内容超日常3倍以上。防疲劳设计：主要付费节点间隔不少于3周，避免玩家付费疲劳。,原神/王者荣耀/梦幻西游运营活动分析,"运营活动,活动节奏,付费节点,版本更新,活动强度",深度
策划,【RPG留存设计——每日登录驱动机制】RPG留存设计五层机制：(1)每日签到——最低门槛，奖励递增或累计，7日签到必有优质奖励；(2)每日任务——3-5个简单目标，15-30分钟完成，奖励高频消耗品；(3)体力/行动力——自然恢复机制，制造固定登录时间点（早8点/晚8点满体力）；(4)限时活动——倒计时制造紧迫感，错过不再有；(5)社交绑定——好友互赠/公会任务，社会压力驱动登录。次日留存>40%为健康，7日留存>20%，30日留存>10%。体力上限设计：满体力恢复时间建议6-12小时（对应1-2次固定登录）。,原神/王者荣耀留存机制分析+移动游戏数据报告,"留存设计,每日任务,体力系统,签到,社交绑定",深度
策划,【RPG数值策划工具链——配表规范】RPG数值配表标准结构：(1)角色属性表——基础属性+成长系数+职业修正，每个属性含最小值/基准值/最大值；(2)技能配表——技能ID/倍率/冷却/消耗/标签，倍率应为相对基准的百分比；(3)装备配表——品质/等级/词缀池/强化上限，词缀价值应可量化比较；(4)怪物配表——等级/HP/攻击/防御/经验/掉落，HP应参照玩家同等级DPS计算TTK（目标3-8秒）；(5)经济配表——道具产出/消耗/价格，需整体经济流量平衡测试。配表版本管理：每次修改记录版本号+修改原因+测试结果，禁止直接修改线上配表。,游戏数值设计实战+商业RPG项目经验,"数值配表,属性表,技能配表,装备配表,TTK设计",深度
剧情,【RPG叙事结构设计】RPG叙事三幕结构：第一幕（建立）——世界观/角色动机/核心冲突引入，占总内容15-20%；第二幕（发展）——主角成长+次要冲突+世界扩展，占60-70%；第三幕（高潮/解决）——最终对抗+叙事收束+情感共鸣，占15-20%。RPG叙事特殊性：非线性叙事需要维护世界状态一致性；玩家选择影响分支时，主干剧情需在所有路径下自洽；角色成长需与玩法成长同步（叙事弧与等级弧对应）。叙事节奏控制：强叙事节点（Boss前后）与轻叙事节点（日常副本）交替，避免长时间无叙事或叙事过载。,巫师3/最终幻想系列/原神叙事结构分析,"叙事结构,三幕结构,非线性叙事,角色弧,叙事节奏",深度
剧情,【RPG角色设计框架——主角与NPC】RPG角色设计层次：(1)主角设计——玩家代入型（无脸主角，如上古卷轴）vs个性主角（有完整性格，如杰洛特/雷电将军），前者代入感强，后者叙事表现力强；(2)核心NPC设计——需有明确动机+成长弧+与主角的关系变化，至少3个关键NPC；(3)功能NPC——商人/传送/任务给予者，设计简洁，视觉识别清晰；(4)群体NPC——制造世界活力，对话多样化避免重复。角色情感设计：好感度系统驱动角色深度挖掘（对话解锁/礼物系统），角色故事副本提升情感依附。,巫师3/原神/星穹铁道角色设计分析,"角色设计,主角类型,NPC设计,好感度,情感依附",实质
